Berliner Philharmoniker,Germany,300,140,Kirill Petrenko,1000
New York Philharmonic,US,190,180,Jaap van Zweden,2000
Vienna Philharmonic,Austria,200,182,Hans Hagen,1500
London Symphony Orchestra,UK,200,120,Andres Orozco-Estrada,2000
Chicago Symphony Orchestra,US,200,133,Klaus Makela,5000
Boston Symphony Orchestra,US,180,143,Andris Nelsons,3000
San Francisco Symphony,US,70,113,Esa-Pekka Salonen,2000
Munich Philharmonic Orchestra,Germany,100,131,Valery Gergiev,500
Saint Petersburg Philharmonic Orchestra,Russia,70,142,Yuri Temirkanov,2000
Sydney Symphony Orchestra,Australia,50,92,Simone Young,1000
Tokyo Symphony Orchestra,Japan,50,78,Norichika Limori,3000